Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
"[OFFENSES AGAINST THE PERSON] IMPRISONMENT 2,UNLAWFUL",,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE, SALE 5",-0.0019254034647376741,-0.005929248715075024,-0.0011306685728500131,-0.004312296281904793,-0.003357821441589152
"[OFFENSES AGAINST PUBLIC ADMINI] CONTEMPT,CRIMINAL",,,,,
"[ROBBERY] ROBBERY,OPEN AREA UNCLASSIFIED",-0.0134700902897276,-0.022345052975008224,-0.01962597986940271,-0.017559802165751842,-0.018586164415539633
"[PETIT LARCENY] LARCENY,PETIT BY CHECK USE",,,,,
"[GRAND LARCENY] LARCENY,GRAND BY THEFT OF CREDIT CARD",-0.01953272510488816,-0.01810930638178184,-0.024827976933586456,-0.015562021525208795,-0.019849282257801092
"[BURGLARY] BURGLARY,RESIDENCE,UNKNOWN TIM",-0.014746495754438465,-0.015174651374659991,-0.012944381181744529,-0.008542832250731288,-0.01293205655190116
"[VEHICLE AND TRAFFIC LAWS] TRAFFIC,UNCLASSIFIED MISDEMEAN",,,,,
[OFFENSES AGAINST THE PERSON] CUSTODIAL INTERFERENCE 2,,,,,
"[OFFENSES AGAINST PUBLIC ADMINI] PUBLIC ADMINISTATION,UNCLASS M",0.002841525641550353,0.00240591891831222,0.002184654353605548,-0.004521937943843401,0.0006155290642307206
"[ROBBERY] ROBBERY,CHECK CASHING BUSINESS",,,,,
[MURDER & NON-NEGL. MANSLAUGHTER] nan,-0.007244825346357844,-0.00913964959482556,-0.009751165763151123,-0.008942309651458662,-0.008950119852557396
"[ARSON] ARSON 2,3,4",0.021361070913549662,0.019282370151898483,0.015426958874368039,0.02004455769384603,0.019267364199383522
"[FELONY ASSAULT] ASSAULT 2,1,UNCLASSIFIED",-0.02356646147625117,-0.02892400517530337,-0.02839089712120799,-0.022130671016366135,-0.02614763912119562
[VEHICLE AND TRAFFIC LAWS] RECKLESS DRIVING,,,,,
[THEFT OF SERVICES] UNAUTH. SALE OF TRANS. SERVICE,,,,,
"[ANTICIPATORY OFFENSES] CONSPIRACY 6, 5",-0.0055637668483729625,-0.0041915488034806655,-0.008259188248556395,-0.003048480707971726,-0.005363001508761687
"[OFFENSES INVOLVING FRAUD] FORGERY,ETC.-MISD.",,,,,
[nan] SALE OF UNAUTHORIZED RECORDING,,,,,
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROPERTY 2,POSSESSION B",,,,,
"[nan] CONTEMPT,CRIMINAL",,,,,
"[MISCELLANEOUS PENAL LAW] FALSE REPORT 1,FIRE",,,,,
[VEHICLE AND TRAFFIC LAWS] LEAVING SCENE-ACCIDENT-PERSONA,,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM STORE-SHOPL",-0.007699513119063094,-0.009169151223132938,-0.006556116544781092,-0.006133935708005605,-0.007451860894616848
"[ROBBERY] ROBBERY,CAR JACKING",,,,,
