TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
ML19018126,40.84209,-73.92623,10452,M,11/17/2019 12:11 AM,201,3000,Bronx County,11/17/2019,12:11 AM,12 AM
ML19018255,40.78684,-73.94526,10029,M,11/19/2019 09:40 AM,164,3005,New York County,11/19/2019,09:40 AM,09 AM
ML19018685,40.77099,-73.96762,10021,M,11/25/2019 10:01 PM,122,4000,New York County,11/25/2019,10:01 PM,10 PM
ML19018711,40.73424,-73.99975,10014,M,11/26/2019 10:38 AM,71,4004,New York County,11/26/2019,10:38 AM,10 AM
ML19018928,40.75118,-73.98775,10018,M,11/30/2019 04:29 PM,109,1007,New York County,11/30/2019,04:29 PM,04 PM
ML19018965,40.79983,-73.94612,10029,M,12/01/2019 12:46 PM,184,2001,New York County,12/01/2019,12:46 PM,12 PM
ML19019045,40.78267,-73.98324,10023,P,12/03/2019 08:13 AM,163,2000,New York County,12/03/2019,08:13 AM,08 AM
ML19019101,40.76531,-73.96384,10065,M,12/04/2019 08:02 AM,118,7000,New York County,12/04/2019,08:02 AM,08 AM
ML19019205,40.82821,-73.94676,10031,M,12/05/2019 10:55 PM,233,2000,New York County,12/05/2019,10:55 PM,10 PM
ML19019215,40.77053,-73.96844,10065,M,12/06/2019 10:49 AM,143,1033,New York County,12/06/2019,10:49 AM,10 AM
ML19019260,40.7659,-73.98497,10019,P,12/06/2019 09:11 PM,139,4000,New York County,12/06/2019,09:11 PM,09 PM
ML19019294,40.77507,-73.9823,10023,P,12/07/2019 03:06 PM,153.02,3001,New York County,12/07/2019,03:06 PM,03 PM
QL18004912,40.75644,-73.80735,11358,M,06/27/2018 02:50 PM,1199,1000,Queens County,06/27/2018,02:50 PM,02 PM
QL18008408,40.78152,-73.81713,11357,M,11/09/2018 08:30 AM,1039,2009,Queens County,11/09/2018,08:30 AM,08 AM
QL19000266,40.78369,-73.81743,11357,P,01/04/2019 02:32 PM,1039,2002,Queens County,01/04/2019,02:32 PM,02 PM
QL19002795,40.75786,-73.83412,11354,M,04/11/2019 08:40 PM,871,1001,Queens County,04/11/2019,08:40 PM,08 PM
QL19003739,40.71248,-74.0062,10007,M,05/22/2019 10:36 AM,31,1022,New York County,05/22/2019,10:36 AM,10 AM
QL19003872,40.73169,-73.82568,11367,M,05/30/2019 12:32 PM,809,3000,Queens County,05/30/2019,12:32 PM,12 PM
QL19004060,40.72929,-73.72616,11426,P,06/07/2019 10:48 AM,1621,4001,Queens County,06/07/2019,10:48 AM,10 AM
QL19004565,40.75052,-73.7938,11358,M,06/26/2019 11:45 AM,1417,1000,Queens County,06/26/2019,11:45 AM,11 AM
QL19006042,40.76377,-73.78737,11358,M,08/30/2019 08:22 AM,1139,2011,Queens County,08/30/2019,08:22 AM,08 AM
QL19006050,40.77394,-73.79238,11358,M,08/30/2019 11:43 AM,997.01,2011,Queens County,08/30/2019,11:43 AM,11 AM
QL19006350,40.75066,-73.78429,11365,M,09/09/2019 01:27 PM,1429,4000,Queens County,09/09/2019,01:27 PM,01 PM
QL19006654,40.75768,-73.78011,11361,M,09/17/2019 02:50 PM,1463,1012,Queens County,09/17/2019,02:50 PM,02 PM
QL19006671,40.76396,-73.79784,11358,M,09/18/2019 11:40 AM,1175,1005,Queens County,09/18/2019,11:40 AM,11 AM
QL19006735,40.7664,-73.73538,11362,M,09/20/2019 05:42 PM,1507.02,1006,Queens County,09/20/2019,05:42 PM,05 PM
QL19006794,40.78726,-73.84473,11356,M,09/23/2019 12:28 PM,947,2004,Queens County,09/23/2019,12:28 PM,12 PM
QL19006833,40.77905,-73.909,11105,M,09/24/2019 09:06 PM,111,1001,Queens County,09/24/2019,09:06 PM,09 PM
QL19006866,40.75589,-73.79377,11358,M,09/25/2019 06:38 PM,1459,1002,Queens County,09/25/2019,06:38 PM,06 PM
QL19007058,40.77006,-73.8457,11354,P,10/02/2019 01:02 PM,907,1029,Queens County,10/02/2019,01:02 PM,01 PM
QL19007363,40.74771,-73.77475,11364,M,10/14/2019 10:16 AM,1409.01,1008,Queens County,10/14/2019,10:16 AM,10 AM
QL19007441,40.74665,-73.71763,11004,M,10/16/2019 10:02 AM,1551.04,4004,Queens County,10/16/2019,10:02 AM,10 AM
QL19007859,40.74645,-73.82433,11355,P,10/26/2019 11:55 AM,799,1005,Queens County,10/26/2019,11:55 AM,11 AM
QL19008127,40.76013,-73.77501,11361,P,11/03/2019 03:11 PM,1467,3006,Queens County,11/03/2019,03:11 PM,03 PM
QL19008248,40.74726,-73.71899,11004,M,11/06/2019 11:28 AM,1551.03,5003,Queens County,11/06/2019,11:28 AM,11 AM
QL19008283,40.74348,-73.87057,11373,M,11/07/2019 08:15 AM,463,2003,Queens County,11/07/2019,08:15 AM,08 AM
QL19008327,40.75178,-73.76709,11364,M,11/07/2019 04:47 PM,1399,2008,Queens County,11/07/2019,04:47 PM,04 PM
QL19008577,40.74292,-73.77616,11365,M,11/14/2019 07:09 PM,1347.02,2001,Queens County,11/14/2019,07:09 PM,07 PM
QL19008585,40.76676,-73.76452,11361,M,11/15/2019 10:21 AM,1113,3008,Queens County,11/15/2019,10:21 AM,10 AM
QL19008627,40.74871,-73.77522,11364,M,11/16/2019 07:50 PM,1409.01,1001,Queens County,11/16/2019,07:50 PM,07 PM
QL19008716,40.73265,-73.74766,11427,M,11/19/2019 05:56 PM,1291.02,4007,Queens County,11/19/2019,05:56 PM,05 PM
QL19008745,40.75133,-73.71331,11005,M,11/20/2019 02:04 PM,1551.04,3000,Queens County,11/20/2019,02:04 PM,02 PM
QL19008776,40.72636,-73.78429,11432,M,11/21/2019 10:49 AM,1277,2008,Queens County,11/21/2019,10:49 AM,10 AM
QL19008864,40.7391,-73.81825,11367,P,11/23/2019 05:44 PM,803.02,3014,Queens County,11/23/2019,05:44 PM,05 PM
QL19008929,40.7503,-73.81877,11355,M,11/25/2019 12:29 PM,1205,1004,Queens County,11/25/2019,12:29 PM,12 PM
QL19008963,40.72236,-73.80969,11366,M,11/26/2019 09:37 AM,1257,3002,Queens County,11/26/2019,09:37 AM,09 AM
QL19008982,40.78938,-73.82366,11357,M,11/26/2019 01:16 PM,945,2002,Queens County,11/26/2019,01:16 PM,01 PM
QL19009008,40.74726,-73.71899,11004,M,11/27/2019 10:31 AM,1551.03,5003,Queens County,11/27/2019,10:31 AM,10 AM
QL19009018,40.78805,-73.84566,11356,M,11/27/2019 01:35 PM,939,2007,Queens County,11/27/2019,01:35 PM,01 PM
QL19009153,40.75569,-73.82005,11355,P,12/03/2019 05:58 PM,859,2001,Queens County,12/03/2019,05:58 PM,05 PM
QL19009158,40.75569,-73.82005,11355,M,12/04/2019 12:41 AM,859,2001,Queens County,12/04/2019,12:41 AM,12 AM
QL19009181,40.75517,-73.76488,11364,M,12/04/2019 01:02 PM,1441,4001,Queens County,12/04/2019,01:02 PM,01 PM
QL19009199,40.74702,-73.71854,11004,M,12/04/2019 03:32 PM,1551.04,4004,Queens County,12/04/2019,03:32 PM,03 PM
QL19009212,40.74871,-73.79223,11358,P,12/05/2019 09:02 AM,1417,2004,Queens County,12/05/2019,09:02 AM,09 AM
QL19009221,40.73488,-73.74941,11427,P,12/05/2019 11:16 AM,1291.02,4005,Queens County,12/05/2019,11:16 AM,11 AM
QL19009224,40.72777,-73.72577,11426,P,12/05/2019 11:39 AM,1621,4005,Queens County,12/05/2019,11:39 AM,11 AM
QL19009246,40.75569,-73.82005,11355,M,12/05/2019 09:07 PM,859,2001,Queens County,12/05/2019,09:07 PM,09 PM
QL19009252,40.74807,-73.72101,11004,P,12/06/2019 08:54 AM,1567,1000,Queens County,12/06/2019,08:54 AM,08 AM
QL19009253,40.77335,-73.81141,11354,M,12/06/2019 09:08 AM,1059,2005,Queens County,12/06/2019,09:08 AM,09 AM
QL19009256,40.73466,-73.71296,11001,P,12/06/2019 09:50 AM,1571.01,7012,Queens County,12/06/2019,09:50 AM,09 AM
QL19009264,40.73859,-73.79726,11365,P,12/06/2019 11:54 AM,1215,1000,Queens County,12/06/2019,11:54 AM,11 AM
QL19009296,40.70015,-73.78396,11433,M,12/07/2019 11:11 AM,414,3001,Queens County,12/07/2019,11:11 AM,11 AM
WL17007806,40.99023,-73.8232,10583,M,08/09/2017 03:23 PM,107.01,2025,Westchester County,08/09/2017,03:23 PM,03 PM
WL18002550,41.03169,-73.86765,10533,M,02/15/2018 02:45 PM,113,3012,Westchester County,02/15/2018,02:45 PM,02 PM
WL18009064,41.15131,-73.76978,10514,M,08/10/2018 09:33 AM,131.02,3032,Westchester County,08/10/2018,09:33 AM,09 AM
WL19000217,41.02267,-73.87048,10522,M,01/07/2019 02:50 PM,113,3025,Westchester County,01/07/2019,02:50 PM,02 PM
WL19000325,40.91821,-73.82872,10550,M,01/10/2019 11:06 AM,40.02,1000,Westchester County,01/10/2019,11:06 AM,11 AM
WL19000383,41.20206,-73.64379,10506,P,01/11/2019 10:03 PM,127,2004,Westchester County,01/11/2019,10:03 PM,10 PM
WL19000570,40.89496,-73.77982,10805,M,01/14/2019 03:24 PM,57.04,2002,Westchester County,01/14/2019,03:24 PM,03 PM
WL19000619,40.93447,-73.79094,10804,M,01/15/2019 02:43 PM,67,4012,Westchester County,01/15/2019,02:43 PM,02 PM
WL19000734,40.96744,-73.73648,10543,M,01/18/2019 08:51 AM,73,2011,Westchester County,01/18/2019,08:51 AM,08 AM
WL19000754,40.9279,-73.83229,10552,M,01/18/2019 01:11 PM,151,3013,Westchester County,01/18/2019,01:11 PM,01 PM
WL19001552,41.01017,-73.754,10605,M,02/04/2019 08:28 AM,97.01,2004,Westchester County,02/04/2019,08:28 AM,08 AM
WL19001708,40.91508,-73.84718,10550,M,02/06/2019 10:24 AM,37,3009,Westchester County,02/06/2019,10:24 AM,10 AM
