Date,Hour,CensusTract,NumberOfReports
01/14/2020,08 AM,100.0,1
10/27/2019,02 PM,39.0,1
11/30/2019,04 PM,109.0,1
01/07/2020,09 AM,85.0,1
01/06/2020,01 PM,6.0,1
06/15/2019,04 PM,132.01,1
12/13/2019,01 PM,101.0,1
12/14/2019,10 AM,79.0,1
06/23/2019,10 AM,77.0,1
10/05/2019,01 PM,109.02,1
12/27/2019,12 PM,15.04,1
12/29/2019,02 PM,29.02,1
12/04/2019,10 AM,84.03,1
12/13/2019,08 AM,97.01,1
09/08/2019,05 PM,113.0,1
09/24/2019,09 PM,111.0,1
12/16/2019,01 PM,345.0,1
08/15/2019,11 AM,41.0,1
12/04/2019,01 PM,1441.0,1
12/16/2019,07 PM,97.0,1
01/10/2020,11 AM,837.0,1
11/22/2019,10 AM,13.02,1
12/27/2019,11 AM,21.01,1
01/01/2020,08 PM,39.0,1
10/02/2019,01 PM,67.0,1
08/14/2019,01 PM,131.04,1
12/16/2019,11 PM,1291.02,1
01/01/2020,06 PM,109.03,1
01/03/2020,10 AM,148.05,1
01/05/2020,09 PM,116.02,1
12/05/2019,11 AM,516.01,1
12/07/2019,02 AM,64.0,1
12/31/2019,10 AM,67.0,1
01/13/2020,01 PM,256.0,1
11/14/2019,02 PM,68.02,1
01/18/2019,08 AM,73.0,1
12/20/2019,09 AM,131.04,1
12/27/2019,04 PM,1215.0,1
01/06/2020,09 AM,173.0,1
12/21/2019,03 PM,189.0,1
11/21/2019,10 AM,75.0,1
01/02/2020,09 AM,67.0,1
01/07/2020,10 AM,1441.0,1
01/06/2020,09 AM,122.01,1
12/13/2019,04 PM,107.01,1
12/17/2019,11 AM,91.0,1
01/04/2020,08 AM,1151.0,1
01/08/2020,09 AM,138.0,1
01/14/2020,11 AM,107.02,1
10/14/2019,10 AM,1409.01,1
11/26/2019,10 AM,132.01,1
08/23/2019,06 AM,4.03,1
12/19/2019,01 PM,47.0,1
12/28/2019,12 PM,1189.0,1
01/07/2020,02 PM,6.0,1
01/08/2020,08 AM,889.02,1
12/17/2019,07 AM,145.0,1
10/21/2019,11 AM,149.0,1
01/04/2020,12 PM,1175.0,1
01/12/2020,10 AM,33.0,1
01/07/2020,09 PM,135.01,1
12/16/2019,12 PM,779.04,2
08/10/2018,09 AM,131.02,1
01/01/2020,08 PM,47.0,1
01/14/2020,10 AM,80.0,1
12/24/2019,12 PM,68.01,1
12/25/2019,10 PM,1459.0,1
01/09/2020,06 PM,15.02,1
12/06/2019,02 PM,267.02,1
11/05/2019,09 AM,66.0,1
01/13/2020,12 PM,113.0,1
05/11/2019,12 AM,21.0,1
01/06/2020,09 AM,1223.0,1
01/12/2020,11 AM,242.0,1
01/13/2020,09 AM,68.0,1
11/30/2019,10 AM,1417.0,1
11/23/2019,10 AM,83.02,1
01/03/2020,01 PM,73.0,1
12/23/2019,05 PM,58.0,1
12/26/2019,01 PM,245.0,1
01/09/2020,04 PM,40.01,1
01/09/2020,11 AM,118.0,1
12/31/2019,11 AM,132.01,1
01/08/2020,12 PM,68.02,1
08/25/2019,01 PM,74.01,1
01/02/2020,09 AM,141.0,1
09/27/2019,02 PM,114.01,1
06/19/2019,09 PM,13.02,1
10/15/2019,06 PM,13.02,1
01/02/2020,02 PM,1483.0,1
01/13/2020,02 PM,83.01,1
01/06/2020,04 PM,183.0,1
01/14/2020,09 AM,217.0,1
12/05/2019,11 AM,1291.02,1
03/18/2019,12 PM,74.02,1
12/04/2019,11 AM,104.0,1
08/26/2019,10 AM,92.0,1
01/08/2020,04 PM,148.02,1
09/27/2019,11 AM,131.04,1
11/11/2019,09 AM,63.02,1
11/05/2019,11 AM,80.0,1
12/13/2019,07 AM,48.02,1
12/21/2019,01 PM,1265.0,1
10/30/2019,05 PM,83.02,1
09/09/2019,01 PM,1429.0,1
10/25/2019,11 AM,83.02,1
01/07/2020,11 AM,138.0,1
12/22/2019,04 PM,1175.0,1
01/07/2020,11 AM,9810.0,1
11/20/2019,06 PM,6.02,1
12/17/2019,05 PM,67.0,1
01/13/2020,02 AM,14.01,1
01/14/2019,03 PM,57.04,1
06/15/2019,11 AM,81.0,1
12/05/2019,11 AM,1621.0,1
01/09/2020,12 PM,193.0,1
01/13/2020,01 PM,47.0,1
09/23/2019,12 PM,947.0,1
12/10/2019,09 AM,160.0,1
12/18/2019,08 AM,21.01,1
01/07/2020,01 PM,113.0,1
12/16/2019,03 PM,51.0,1
12/31/2019,03 PM,114.01,1
01/04/2020,11 AM,130.0,1
03/07/2019,08 AM,143.0,1
12/21/2019,01 AM,66.0,1
01/02/2020,06 PM,133.0,1
01/13/2020,10 AM,1291.03,1
11/12/2019,08 AM,78.0,1
01/14/2020,11 AM,73.0,1
01/09/2020,11 AM,75.0,1
12/21/2019,05 PM,1463.0,1
11/02/2019,10 AM,15.01,1
12/21/2019,11 AM,93.01,1
01/04/2019,02 PM,1039.0,1
12/22/2019,01 PM,1241.0,1
01/14/2020,01 PM,109.0,1
11/27/2019,10 AM,34.0,1
01/08/2020,01 PM,31.0,1
12/25/2019,11 PM,68.01,1
10/25/2019,03 PM,68.02,1
12/04/2019,08 AM,118.0,1
01/03/2020,03 PM,114.01,1
12/20/2019,06 AM,542.0,1
11/10/2019,04 PM,70.0,1
12/21/2019,09 PM,132.02,1
09/29/2019,09 AM,13.05,1
01/08/2020,01 PM,84.03,1
09/17/2019,02 PM,1463.0,1
12/13/2019,04 PM,328.0,1
09/09/2019,08 PM,112.02,1
12/12/2019,08 PM,108.01,1
09/11/2019,06 PM,119.0,1
12/21/2019,12 PM,112.0,1
01/09/2020,02 PM,67.0,1
12/18/2019,07 AM,380.0,1
01/04/2020,12 PM,48.02,1
01/10/2020,03 PM,131.04,1
11/27/2019,11 AM,96.0,1
01/02/2020,10 AM,267.01,1
01/13/2020,12 PM,85.0,1
12/23/2019,11 AM,170.0,1
