Date,Hour,CensusTract,NumberOfReports
12/20/2019,10 PM,50.02,1
12/06/2019,12 PM,16.0,1
12/26/2019,04 PM,1571.01,1
12/13/2019,09 PM,1207.01,1
01/02/2020,02 PM,141.0,1
01/02/2020,04 PM,121.01,1
01/03/2020,01 PM,7.0,1
12/14/2019,10 AM,1093.0,1
01/18/2019,01 PM,151.0,1
01/15/2020,09 AM,15.03,1
01/15/2020,11 AM,123.01,1
01/15/2020,05 PM,51.0,2
01/15/2020,09 AM,98.0,1
01/16/2020,11 AM,21.04,1
01/15/2020,01 PM,139.0,1
01/15/2020,10 AM,1483.0,1
01/16/2020,12 PM,99.0,1
01/15/2020,08 AM,803.02,1
01/16/2020,01 PM,1617.0,1
01/16/2020,07 AM,51.0,1
01/15/2020,03 PM,59.02,1
01/15/2020,04 PM,99.0,1
01/15/2020,01 PM,113.0,1
01/15/2020,07 AM,102.0,1
01/15/2020,12 PM,97.02,1
01/15/2020,09 AM,157.0,1
01/16/2020,09 AM,139.0,1
01/16/2020,02 PM,139.0,1
01/15/2020,02 PM,236.0,1
01/15/2020,09 AM,997.01,1
01/16/2020,06 PM,84.03,1
01/15/2020,01 PM,72.0,1
01/15/2020,01 PM,68.02,1
01/15/2020,11 AM,32.0,1
01/15/2020,02 PM,83.02,1
01/15/2020,02 PM,107.02,1
01/15/2020,09 PM,70.01,1
01/15/2020,06 PM,106.0,1
01/16/2020,04 PM,67.0,1
01/17/2020,01 AM,155.0,1
01/15/2020,10 AM,148.11,1
01/15/2020,09 PM,105.0,1
01/15/2020,04 PM,76.0,1
01/15/2020,02 PM,99.0,1
01/15/2020,10 AM,143.0,1
01/15/2020,01 PM,240.0,1
01/15/2020,04 PM,114.01,1
01/16/2020,01 PM,1333.0,1
01/16/2020,07 AM,1291.03,1
01/15/2020,12 PM,83.01,1
01/15/2020,04 PM,106.0,1
01/16/2020,08 AM,32.0,1
01/15/2020,10 PM,68.01,1
01/16/2020,09 AM,50.02,1
