TicketNumber,Latitude,Longitude,Zipcode,Classification,DateReported
WL19014203,41.18998,-73.87127,10562,M,11/26/2019 10:19 AM
WL19014222,40.93555,-73.79224,10804,M,11/26/2019 12:58 PM
WL19014235,41.00196,-73.87563,10706,M,11/26/2019 03:07 PM
WL19014309,40.97699,-73.77547,10583,M,11/28/2019 11:12 AM
WL19014447,40.96816,-73.80989,10709,M,12/03/2019 08:31 AM
WL19014479,40.99915,-73.88165,10706,M,12/03/2019 05:07 PM
WL19014493,40.9707,-73.78125,10804,M,12/04/2019 09:10 AM
WL19014498,40.94871,-73.69171,10580,M,12/04/2019 10:28 AM
WL19014500,40.97328,-73.72162,10528,M,12/04/2019 10:51 AM
WL19014504,41.00721,-73.87922,10522,P,12/04/2019 11:37 AM
WL19014544,40.98336,-73.72174,10528,M,12/04/2019 10:08 PM
WL19014549,40.90574,-73.79281,10801,M,12/05/2019 08:40 AM
WL19014551,41.12853,-73.70273,10504,M,12/05/2019 09:04 AM
WL19014570,40.97414,-73.8356,10710,P,12/05/2019 01:18 PM
WL19014571,40.94811,-73.77764,10804,M,12/05/2019 01:49 PM
WL19014586,41.3222,-73.77897,10598,P,12/06/2019 07:10 AM
WL19014611,40.99713,-73.88283,10706,M,12/06/2019 11:33 AM
WL19014613,41.02965,-73.78623,10606,P,12/06/2019 12:02 PM
WL19014614,40.94466,-73.8804,10701,M,12/06/2019 12:03 PM
WL19014623,40.93583,-73.79234,10804,M,12/06/2019 02:06 PM
WL19014631,40.9607,-73.68753,10580,P,12/06/2019 03:42 PM
WL19014643,41.00759,-73.87917,10522,M,12/07/2019 01:08 AM
WL19014644,40.92131,-73.78979,10801,M,12/07/2019 02:23 AM
WL19014656,41.0644,-73.76751,10603,P,12/07/2019 11:02 AM
XL18005966,40.81532,-73.9306,10451,M,05/14/2018 08:33 PM
XL19004681,40.91124,-73.9063,10471,M,04/10/2019 01:59 PM
XL19007996,40.81922,-73.90442,10456,M,06/23/2019 10:03 AM
XL19009240,40.88379,-73.85306,10466,M,07/20/2019 10:18 AM
XL19011962,40.82997,-73.86012,10472,P,09/16/2019 01:48 PM
XL19012109,40.8114,-73.90679,10455,M,09/19/2019 10:57 AM
XL19013105,40.82766,-73.92604,10451,P,10/10/2019 11:45 AM
XL19013278,40.81713,-73.90507,10455,M,10/14/2019 01:07 PM
QL19008987,40.75049,-73.79308,11358,P,11/26/2019 02:38 PM
QL19009072,40.75049,-73.79308,11358,P,11/30/2019 10:40 AM
XL19013544,40.86897,-73.89477,10468,M,10/20/2019 10:08 AM
XL19014233,40.86115,-73.897,10458,M,11/03/2019 09:25 AM
XL19014574,40.82747,-73.92616,10451,M,11/11/2019 09:03 AM
XL19014737,40.88971,-73.90279,10471,M,11/14/2019 01:23 PM
XL19014738,40.82863,-73.91141,10456,M,11/14/2019 01:30 PM
XL19014924,40.87637,-73.82428,10475,M,11/18/2019 10:49 AM
XL19014937,40.85847,-73.8525,10469,M,11/18/2019 01:56 PM
XL19015393,40.83763,-73.85384,10462,M,11/26/2019 10:08 AM
XL19015764,40.85045,-73.7844,10464,M,12/05/2019 11:04 AM
XL19015808,40.85629,-73.89372,10458,P,12/06/2019 11:07 AM
XL19015830,40.87243,-73.89894,10468,M,12/06/2019 02:31 PM
XL19015874,40.82285,-73.87933,10473,P,12/07/2019 12:24 PM
XL19015893,40.88796,-73.90938,10463,P,12/07/2019 11:02 PM
ML19007215,40.74306,-73.9842,10016,P,05/09/2019 08:43 AM
ML19018780,40.73065,-73.98306,10009,P,11/27/2019 10:06 AM
ML19019323,40.72398,-73.98605,10009,M,12/08/2019 09:32 AM
ML19019325,40.71639,-73.9948,10002,P,12/08/2019 10:05 AM
ML19019328,40.72216,-74.01168,10013,M,12/08/2019 12:21 PM
ML19019360,40.71669,-73.9863,10002,P,12/09/2019 12:26 AM
