TicketNumber,Latitude,Longitude,Zipcode,Classification,DateReported
WL20000589,41.003,-73.66652,10573,P,01/14/2020 10:55 AM
WL20000590,40.9273,-73.84894,10704,P,01/14/2020 10:58 AM
WL20000591,40.98687,-73.82194,10583,P,01/14/2020 11:20 AM
WL20000592,41.04281,-73.79075,10607,M,01/14/2020 11:42 AM
WL20000595,41.01097,-73.78948,10583,M,01/14/2020 12:43 PM
WL20000596,41.28862,-73.91095,10566,M,01/14/2020 12:44 PM
WL20000598,41.07224,-73.77743,10595,M,01/14/2020 12:53 PM
WL20000603,40.93678,-73.77023,10804,M,01/14/2020 01:52 PM
WL20000606,40.95617,-73.80791,10709,M,01/14/2020 02:40 PM
WL20000611,40.90209,-73.80933,10803,M,01/14/2020 04:20 PM
XL20000701,40.8466,-73.91474,10453,P,01/14/2020 09:00 AM
XL20000708,40.89098,-73.83109,10466,M,01/14/2020 10:12 AM
XL20000709,40.81186,-73.88796,10474,P,01/14/2020 10:17 AM
XL20000711,40.85479,-73.86104,10462,P,01/14/2020 10:47 AM
WL20000639,41.02025,-73.72973,10605,M,01/15/2020 12:37 PM
ML20000727,40.75787,-73.9756,10022,P,01/15/2020 07:35 AM
ML20000735,40.77627,-73.98012,10023,P,01/15/2020 09:51 AM
ML20000745,40.7238,-73.98564,10009,M,01/15/2020 11:42 AM
ML20000790,40.74119,-73.97709,10016,P,01/15/2020 09:26 PM
QL20000479,40.74145,-73.82922,11367,P,01/15/2020 08:41 AM
QL20000483,40.78385,-73.79273,11360,P,01/15/2020 09:57 AM
QL20000488,40.76481,-73.91095,11103,P,01/15/2020 10:22 AM
QL20000491,40.77273,-73.7507,11363,M,01/15/2020 10:35 AM
QL20000495,40.77385,-73.89951,11105,P,01/15/2020 11:29 AM
QL20000505,40.7751,-73.90864,11105,P,01/15/2020 01:26 PM
QL20000523,40.75484,-73.93227,11101,M,01/15/2020 05:37 PM
WL20000627,41.21007,-73.89581,10520,P,01/15/2020 09:17 AM
WL20000628,40.90648,-73.87649,10704,P,01/15/2020 09:18 AM
WL20000629,40.97447,-73.77298,10583,M,01/15/2020 09:20 AM
WL20000631,41.32705,-73.78889,10598,M,01/15/2020 10:50 AM
WL20000640,40.99884,-73.68457,10573,M,01/15/2020 12:56 PM
WL20000641,41.20966,-73.89543,10520,M,01/15/2020 01:05 PM
WL20000642,40.96344,-73.77793,10804,M,01/15/2020 01:07 PM
WL20000644,40.951480000000004,-73.73675,10543,P,01/15/2020 01:25 PM
WL20000648,41.01699,-73.68627,10573,M,01/15/2020 02:07 PM
WL20000649,40.98704,-73.82015,10583,M,01/15/2020 02:11 PM
WL20000650,40.99448,-73.77389,10583,M,01/15/2020 02:16 PM
WL20000659,40.89964,-73.77505,10805,M,01/15/2020 03:58 PM
WL20000660,41.072,-73.85112,10591,M,01/15/2020 04:04 PM
WL20000662,40.94828,-73.69188,10580,P,01/15/2020 04:20 PM
WL20000664,40.99448,-73.77389,10583,M,01/15/2020 04:45 PM
WL20000665,41.01612,-73.83939,10502,P,01/15/2020 04:55 PM
WL20000668,40.94948,-73.8197,10707,P,01/15/2020 05:48 PM
WL20000673,41.00466,-73.83922,10502,P,01/15/2020 06:39 PM
WL20000680,41.00645,-73.87315,10522,P,01/15/2020 09:11 PM
WL20000683,40.96796,-73.7849,10804,M,01/15/2020 10:00 PM
XL20000779,40.84379,-73.86823,10460,P,01/15/2020 01:22 PM
XL20000787,40.84491,-73.86764,10462,P,01/15/2020 02:50 PM
ML20000808,40.72595,-73.98331,10009,M,01/16/2020 08:31 AM
QL20000534,40.75499,-73.93215000000001,11101,P,01/16/2020 07:25 AM
QL20000535,40.73309,-73.76275,11364,P,01/16/2020 07:42 AM
QL20000556,40.73042,-73.71305,11426,M,01/16/2020 01:22 PM
QL20000560,40.73105,-73.78279,11366,M,01/16/2020 01:54 PM
WL20000697,40.97806,-73.80818,10583,M,01/16/2020 09:16 AM
WL20000698,41.21058,-73.8822,10520,P,01/16/2020 09:29 AM
WL20000708,40.95943,-73.83322,10710,M,01/16/2020 11:11 AM
WL20000714,40.99557,-73.78908,10583,M,01/16/2020 12:58 PM
WL20000721,41.21434,-73.89859,10520,P,01/16/2020 02:23 PM
WL20000733,40.97367,-73.7155,10528,P,01/16/2020 06:44 PM
XL20000862,40.82,-73.916,10455,P,01/16/2020 04:40 PM
XL20000880,40.83723,-73.88807,10460,M,01/17/2020 01:17 AM
