TicketNumber,Latitude,Longitude,Zip,ClassificationType,CensusTract,CensusBlock,CountyName,Date,Time,Hour
WL19008262,41.15093,-73.77376,10514,M,121.01,2002,Westchester County,07/17/2019,11:28 AM,11 AM
WL19008334,41.00801,-73.87959,10522,M,104,3010,Westchester County,07/18/2019,10:49 PM,10 PM
WL19008491,41.02616,-73.67817,10573,M,83.02,1003,Westchester County,07/23/2019,04:48 PM,04 PM
WL19008670,41.00518,-73.83689,10502,M,106,3042,Westchester County,07/28/2019,02:00 PM,02 PM
WL19008890,41.02997,-73.86585,10533,M,113,2005,Westchester County,08/03/2019,12:38 PM,12 PM
WL19009072,41.01787,-73.73035,10605,M,97.02,2026,Westchester County,08/08/2019,12:19 PM,12 PM
WL19009118,41.04031,-73.77239,10603,M,90,2000,Westchester County,08/09/2019,12:11 PM,12 PM
WL19009315,41.16423,-73.77766,10514,M,131.04,3021,Westchester County,08/14/2019,01:37 PM,01 PM
WL19009341,41.29223,-73.78134,10598,M,148.08,2043,Westchester County,08/15/2019,11:17 AM,11 AM
WL19009344,40.91798,-73.82516,10550,M,41,3006,Westchester County,08/15/2019,11:29 AM,11 AM
WL19009349,40.95379,-73.77854,10804,M,68.02,1001,Westchester County,08/15/2019,12:52 PM,12 PM
WL19009632,40.94043,-73.898,10701,M,4.03,2006,Westchester County,08/23/2019,06:54 AM,06 AM
WL19009811,40.95506,-73.72896,10543,M,74.01,3009,Westchester County,08/25/2019,01:10 PM,01 PM
WL19009830,41.02333,-73.76261,10605,M,95,2000,Westchester County,08/26/2019,10:21 AM,10 AM
WL19009840,40.9559,-73.83068,10707,M,22.01,1032,Westchester County,08/26/2019,12:38 PM,12 PM
WL19010282,40.9404,-73.77872,10804,M,67,3003,Westchester County,09/05/2019,10:46 AM,10 AM
WL19010513,41.03575,-73.86528,10533,M,113,4015,Westchester County,09/08/2019,05:26 PM,05 PM
WL19010588,41.03575,-73.86528,10533,M,113,4015,Westchester County,09/10/2019,10:57 AM,10 AM
WL19010622,41.0264,-73.78412,10606,M,91,2003,Westchester County,09/11/2019,08:13 AM,08 AM
WL19010625,40.9441,-73.74502,10543,M,72,5009,Westchester County,09/11/2019,10:28 AM,10 AM
WL19010997,40.96053,-73.68665,10580,M,76,3007,Westchester County,09/19/2019,10:31 AM,10 AM
WL19011060,40.94103,-73.82635,10708,M,47,2030,Westchester County,09/20/2019,10:50 AM,10 AM
WL19011075,40.98416,-73.88071,10706,M,103,2005,Westchester County,09/20/2019,01:09 PM,01 PM
WL19011272,41.13798,-73.85739,10510,M,132.01,2016,Westchester County,09/25/2019,02:49 PM,02 PM
WL19011352,41.16382,-73.77702,10514,M,131.04,3021,Westchester County,09/27/2019,11:17 AM,11 AM
WL19011381,41.06503,-73.85259,10591,M,114.01,2002,Westchester County,09/27/2019,02:44 PM,02 PM
WL19011463,40.91451,-73.89688,10705,M,13.05,4002,Westchester County,09/29/2019,09:54 AM,09 AM
WL19011595,40.93615,-73.79246,10804,M,67,3043,Westchester County,10/02/2019,01:18 PM,01 PM
WL19011667,41.00832,-73.69052,10573,M,83.02,4030,Westchester County,10/04/2019,11:20 AM,11 AM
WL19011719,41.04609,-73.78983,10603,M,109.02,4025,Westchester County,10/05/2019,01:23 PM,01 PM
WL19011912,40.96384,-73.80527,10709,M,50.02,3013,Westchester County,10/10/2019,03:34 PM,03 PM
WL19012048,41.1662,-73.77858,10514,M,131.04,3021,Westchester County,10/13/2019,06:02 PM,06 PM
WL19012163,40.91132,-73.88899,10705,M,13.02,3000,Westchester County,10/15/2019,06:05 PM,06 PM
WL19012182,40.93436,-73.84828,10708,M,22.04,3010,Westchester County,10/16/2019,10:35 AM,10 AM
WL19012288,41.01797,-73.75686,10605,M,97.02,1003,Westchester County,10/18/2019,01:57 PM,01 PM
WL19012578,41.03174,-73.68545,10573,M,83.02,3028,Westchester County,10/24/2019,02:24 PM,02 PM
WL19012606,41.02704,-73.68682,10573,M,83.02,2001,Westchester County,10/25/2019,11:10 AM,11 AM
WL19012629,40.96669,-73.77363,10804,M,68.02,2001,Westchester County,10/25/2019,03:33 PM,03 PM
WL19012658,40.90537,-73.81209,10803,M,54,2025,Westchester County,10/26/2019,02:33 PM,02 PM
WL19012684,40.92349,-73.83197,10552,M,39,1010,Westchester County,10/27/2019,02:15 PM,02 PM
WL19012716,41.00829,-73.78643,10583,M,100,3008,Westchester County,10/28/2019,11:00 AM,11 AM
WL19012864,41.021,-73.69033,10573,M,83.02,4003,Westchester County,10/30/2019,05:36 PM,05 PM
WL19012922,40.93926,-73.77171,10804,M,67,2003,Westchester County,11/01/2019,12:32 PM,12 PM
WL19012951,40.93742,-73.83189,10708,M,46,3000,Westchester County,11/02/2019,09:40 AM,09 AM
WL19012982,40.99278,-73.80303,10583,M,100,4035,Westchester County,11/02/2019,08:12 PM,08 PM
WL19013082,40.93701,-73.7936,10804,M,66,1004,Westchester County,11/05/2019,09:03 AM,09 AM
WL19013103,41.00294,-73.66641,10573,M,80,3009,Westchester County,11/05/2019,11:50 AM,11 AM
WL19013114,41.06397,-73.83531,10591,M,111.01,1009,Westchester County,11/05/2019,01:28 PM,01 PM
WL19013187,41.00698,-73.78679,10583,M,100,3011,Westchester County,11/06/2019,04:12 PM,04 PM
WL19013199,40.96404,-73.79602,10804,M,68.01,3042,Westchester County,11/06/2019,08:02 PM,08 PM
WL19013256,41.30063,-73.7931,10598,M,148.11,3012,Westchester County,11/08/2019,08:46 AM,08 AM
WL19013329,40.93,-73.83491,10552,M,45,1001,Westchester County,11/09/2019,01:47 PM,01 PM
WL19013352,40.94836,-73.76624,10538,M,70,4002,Westchester County,11/10/2019,04:33 PM,04 PM
WL19013381,40.98076,-73.82313,10583,M,21.05,1006,Westchester County,11/11/2019,12:22 PM,12 PM
WL19013386,40.92811,-73.81738,10552,M,151,1004,Westchester County,11/11/2019,12:47 PM,12 PM
WL19013475,40.96344,-73.77793,10804,M,68.02,2015,Westchester County,11/13/2019,12:56 PM,12 PM
WL19013545,40.94275,-73.7558,10538,M,69,3036,Westchester County,11/14/2019,02:02 PM,02 PM
WL19013551,40.93964,-73.79897,10804,M,68.02,4010,Westchester County,11/14/2019,02:24 PM,02 PM
WL19013565,41.06463,-73.85417,10591,M,114.01,2013,Westchester County,11/14/2019,05:15 PM,05 PM
WL19013584,40.97318,-73.83593,10710,M,21.01,3007,Westchester County,11/15/2019,07:41 AM,07 AM
WL19013588,41.08435,-73.77727,10595,M,119.02,2001,Westchester County,11/15/2019,09:13 AM,09 AM
WL19013613,41.0648,-73.76655,10603,M,123.01,1026,Westchester County,11/15/2019,11:46 AM,11 AM
WL19013616,40.98191,-73.83191,10710,M,21.01,1005,Westchester County,11/15/2019,12:26 PM,12 PM
WL19013728,40.9279,-73.83229,10552,M,151,3013,Westchester County,11/18/2019,10:34 AM,10 AM
WL19013822,40.95447,-73.79823,10804,M,68.02,3024,Westchester County,11/19/2019,10:31 PM,10 PM
WL19013850,40.92999,-73.83491,10552,M,45,1001,Westchester County,11/20/2019,11:51 AM,11 AM
WL19013864,41.03663,-73.76512,10601,M,89.01,5005,Westchester County,11/20/2019,03:02 PM,03 PM
WL19013878,40.94588,-73.8919,10703,M,6.02,4004,Westchester County,11/20/2019,06:57 PM,06 PM
WL19013899,40.92204,-73.78255,10801,M,65,3000,Westchester County,11/21/2019,09:26 AM,09 AM
WL19013904,40.96977,-73.69237,10580,M,75,2002,Westchester County,11/21/2019,10:13 AM,10 AM
WL19013907,40.91575,-73.79507,10801,M,63.01,1004,Westchester County,11/21/2019,10:22 AM,10 AM
WL19013921,40.98962,-73.72138,10528,M,85,1030,Westchester County,11/21/2019,12:10 PM,12 PM
WL19013950,40.97937,-73.67842,10580,M,76,6001,Westchester County,11/21/2019,11:58 PM,11 PM
WL19013973,40.91051,-73.8876,10705,M,13.02,3000,Westchester County,11/22/2019,10:52 AM,10 AM
WL19014004,41.01666,-73.6852,10573,M,83.02,4007,Westchester County,11/23/2019,10:44 AM,10 AM
WL19014022,41.20945,-73.73165,10549,M,130,4026,Westchester County,11/23/2019,05:19 PM,05 PM
WL19014155,41.07208,-73.8589,10591,M,114.01,4018,Westchester County,11/25/2019,03:14 PM,03 PM
WL19014157,40.91388,-73.87859,10705,M,14.02,2005,Westchester County,11/25/2019,03:28 PM,03 PM
WL19014191,40.94996,-73.84873,10710,M,22.03,2004,Westchester County,11/26/2019,07:55 AM,07 AM
WL19014202,41.13303,-73.83628,10510,M,132.01,2036,Westchester County,11/26/2019,10:18 AM,10 AM
WL19014203,41.18998,-73.87127,10562,M,137,1000,Westchester County,11/26/2019,10:19 AM,10 AM
WL19014222,40.93555,-73.79224,10804,M,67,3043,Westchester County,11/26/2019,12:58 PM,12 PM
WL19014235,41.00196,-73.87563,10706,M,102,1006,Westchester County,11/26/2019,03:07 PM,03 PM
WL19014309,40.97699,-73.77547,10583,M,68.01,2003,Westchester County,11/28/2019,11:12 AM,11 AM
WL19014447,40.96816,-73.80989,10709,M,50.02,2011,Westchester County,12/03/2019,08:31 AM,08 AM
WL19014479,40.99915,-73.88165,10706,M,103,1004,Westchester County,12/03/2019,05:07 PM,05 PM
WL19014493,40.9707,-73.78125,10804,M,68.01,3009,Westchester County,12/04/2019,09:10 AM,09 AM
WL19014498,40.94871,-73.69171,10580,M,76,2005,Westchester County,12/04/2019,10:28 AM,10 AM
WL19014500,40.97328,-73.72162,10528,M,84.03,1010,Westchester County,12/04/2019,10:51 AM,10 AM
WL19014504,41.00721,-73.87922,10522,P,104,3010,Westchester County,12/04/2019,11:37 AM,11 AM
WL19014544,40.98336,-73.72174,10528,M,85,1033,Westchester County,12/04/2019,10:08 PM,10 PM
WL19014549,40.90574,-73.79281,10801,M,61,3000,Westchester County,12/05/2019,08:40 AM,08 AM
WL19014551,41.12853,-73.70273,10504,M,123.03,1007,Westchester County,12/05/2019,09:04 AM,09 AM
WL19014570,40.97414,-73.8356,10710,P,21.01,3008,Westchester County,12/05/2019,01:18 PM,01 PM
WL19014571,40.94811,-73.77764,10804,M,67,1008,Westchester County,12/05/2019,01:49 PM,01 PM
WL19014586,41.3222,-73.77897,10598,P,148.11,4005,Westchester County,12/06/2019,07:10 AM,07 AM
WL19014611,40.99713,-73.88283,10706,M,103,1004,Westchester County,12/06/2019,11:33 AM,11 AM
WL19014613,41.02965,-73.78623,10606,P,91,2008,Westchester County,12/06/2019,12:02 PM,12 PM
WL19014614,40.94466,-73.8804,10701,M,16,4011,Westchester County,12/06/2019,12:03 PM,12 PM
WL19014623,40.93583,-73.79234,10804,M,67,3043,Westchester County,12/06/2019,02:06 PM,02 PM
WL19014631,40.9607,-73.68753,10580,P,76,3007,Westchester County,12/06/2019,03:42 PM,03 PM
WL19014643,41.00759,-73.87917,10522,M,104,3010,Westchester County,12/07/2019,01:08 AM,01 AM
WL19014644,40.92131,-73.78979,10801,M,64,1006,Westchester County,12/07/2019,02:23 AM,02 AM
WL19014656,41.0644,-73.76751,10603,P,123.01,1025,Westchester County,12/07/2019,11:02 AM,11 AM
XL18005966,40.81532,-73.9306,10451,M,63.01,2036,Bronx County,05/14/2018,08:33 PM,08 PM
XL19004681,40.91124,-73.9063,10471,M,319,1006,Bronx County,04/10/2019,01:59 PM,01 PM
XL19007996,40.81922,-73.90442,10456,M,77,1006,Bronx County,06/23/2019,10:03 AM,10 AM
XL19009240,40.88379,-73.85306,10466,M,398,3001,Bronx County,07/20/2019,10:18 AM,10 AM
XL19011962,40.82997,-73.86012,10472,P,72,1003,Bronx County,09/16/2019,01:48 PM,01 PM
XL19012109,40.8114,-73.90679,10455,M,35,3000,Bronx County,09/19/2019,10:57 AM,10 AM
XL19013105,40.82766,-73.92604,10451,P,63.02,1004,Bronx County,10/10/2019,11:45 AM,11 AM
XL19013278,40.81713,-73.90507,10455,M,79,1004,Bronx County,10/14/2019,01:07 PM,01 PM
QL19008987,40.75049,-73.79308,11358,P,1417,1000,Queens County,11/26/2019,02:38 PM,02 PM
QL19009072,40.75049,-73.79308,11358,P,1417,1000,Queens County,11/30/2019,10:40 AM,10 AM
XL19013544,40.86897,-73.89477,10468,M,403.03,3001,Bronx County,10/20/2019,10:08 AM,10 AM
XL19014233,40.86115,-73.897,10458,M,237.02,1001,Bronx County,11/03/2019,09:25 AM,09 AM
XL19014574,40.82747,-73.92616,10451,M,63.02,1004,Bronx County,11/11/2019,09:03 AM,09 AM
XL19014737,40.88971,-73.90279,10471,M,351,1000,Bronx County,11/14/2019,01:23 PM,01 PM
XL19014738,40.82863,-73.91141,10456,M,143,1006,Bronx County,11/14/2019,01:30 PM,01 PM
XL19014924,40.87637,-73.82428,10475,M,462.03,4000,Bronx County,11/18/2019,10:49 AM,10 AM
XL19014937,40.85847,-73.8525,10469,M,318,2008,Bronx County,11/18/2019,01:56 PM,01 PM
XL19015393,40.83763,-73.85384,10462,M,222,1003,Bronx County,11/26/2019,10:08 AM,10 AM
XL19015764,40.85045,-73.7844,10464,M,516.01,1016,Bronx County,12/05/2019,11:04 AM,11 AM
XL19015808,40.85629,-73.89372,10458,P,385,2001,Bronx County,12/06/2019,11:07 AM,11 AM
XL19015830,40.87243,-73.89894,10468,M,267.02,1001,Bronx County,12/06/2019,02:31 PM,02 PM
XL19015874,40.82285,-73.87933,10473,P,28,1010,Bronx County,12/07/2019,12:24 PM,12 PM
XL19015893,40.88796,-73.90938,10463,P,297,1005,Bronx County,12/07/2019,11:02 PM,11 PM
ML19007215,40.74306,-73.9842,10016,P,68,1000,New York County,05/09/2019,08:43 AM,08 AM
ML19018780,40.73065,-73.98306,10009,P,34,4001,New York County,11/27/2019,10:06 AM,10 AM
ML19019323,40.72398,-73.98605,10009,M,32,4000,New York County,12/08/2019,09:32 AM,09 AM
ML19019325,40.71639,-73.9948,10002,P,16,1002,New York County,12/08/2019,10:05 AM,10 AM
