Geoid,Povertyrate,Unemploymentrate,total,popu,borough
36005012102.jpg,0.469,0.183,0.0047169811320754715,0.06134346321648864,0
36005021100.jpg,0.366,0.145,0.02358490566037736,0.2093049496013239,0
36005023200.jpg,0.265,0.12300000000000001,0.014150943396226415,0.10008274409508049,0
36005022404.jpg,0.11,0.073,0.01650943396226415,0.16958778396268995,0
36005000400.jpg,0.098,0.08,0.009433962264150943,0.20697307055814654,0
36005026602.jpg,0.185,0.095,0.009433962264150943,0.19937565819166542,0
36005002000.jpg,0.44799999999999995,0.18100000000000002,0.049528301886792456,0.3283812246126072,0
36005003300.jpg,0.511,0.235,0.0023584905660377358,0.12836618023168347,0
36005014300.jpg,0.439,0.09300000000000001,0.02358490566037736,0.037723785166240406,0
36005038900.jpg,0.433,0.13699999999999998,0.018867924528301886,0.20027832104708893,0
36005013800.jpg,0.10099999999999999,0.055,0.014150943396226415,0.11441251692492854,0
36005002400.jpg,0.0,0.0,0.014150943396226415,0.00015044380923724988,0
36005007400.jpg,0.292,0.062,0.0,0.13953663306754926,0
36005040100.jpg,0.363,0.192,0.0047169811320754715,0.17274710395667217,0
36005001600.jpg,0.223,0.066,0.0047169811320754715,0.21223860388145027,0
36005008300.jpg,0.36,0.151,0.0047169811320754715,0.23149541146381827,0
36005023900.jpg,0.46,0.124,0.025943396226415096,0.3139762298781405,0
36005039902.jpg,0.39,0.174,0.02358490566037736,0.19854821724086053,0
36005034400.jpg,0.168,0.023,0.0,0.06529261320896645,0
36005023600.jpg,0.314,0.13,0.009433962264150943,0.07172408605385888,0
36005026500.jpg,0.307,0.12300000000000001,0.01179245283018868,0.2610952309312472,0
36005024600.jpg,0.14300000000000002,0.12300000000000001,0.007075471698113208,0.07740333985256506,0
36005039600.jpg,0.172,0.109,0.02358490566037736,0.14126673687377764,0
36005028700.jpg,0.09,0.134,0.007075471698113208,0.11952760643899503,0
36005021301.jpg,0.392,0.105,0.0047169811320754715,0.04517075372348428,0
36005042300.jpg,0.324,0.091,0.007075471698113208,0.15420490446818114,0
36005021502.jpg,0.384,0.14800000000000002,0.03537735849056604,0.22758387242364977,0
36005005902.jpg,0.376,0.035,0.04009433962264151,0.0971114788626448,0
36005025200.jpg,0.124,0.068,0.0023584905660377358,0.09515570934256055,0
36005040702.jpg,0.307,0.10099999999999999,0.02122641509433962,0.25018805476154654,0
36005042800.jpg,0.077,0.024,0.009433962264150943,0.081728599368136,0
36005042600.jpg,0.094,0.065,0.030660377358490566,0.24022115239957875,0
36005030701.jpg,0.069,0.066,0.007075471698113208,0.20227170151948248,0
36005038700.jpg,0.375,0.255,0.0,0.12095682262674891,0
36005041800.jpg,0.249,0.165,0.009433962264150943,0.13532420640890627,0
36005028300.jpg,0.456,0.154,0.014150943396226415,0.11843688882202498,0
36005033600.jpg,0.301,0.141,0.025943396226415096,0.23273657289002558,0
36005025600.jpg,0.271,0.172,0.0047169811320754715,0.06254701369038664,0
36005042901.jpg,0.335,0.061,0.014150943396226415,0.12862945689784866,0
36005029600.jpg,0.113,0.061,0.014150943396226415,0.0958703174364375,0
36005035600.jpg,0.11699999999999999,0.055,0.009433962264150943,0.07623740033097638,0
36005031000.jpg,0.099,0.03,0.0047169811320754715,0.16605235444561456,0
36005006700.jpg,0.45,0.13,0.03537735849056604,0.2626748909282383,0
36005027700.jpg,0.32799999999999996,0.08,0.02358490566037736,0.19049947344666768,0
36005028800.jpg,0.17300000000000001,0.040999999999999995,0.0,0.11648111930194073,0
36005033000.jpg,0.209,0.147,0.02830188679245283,0.21423198435384383,0
36005040400.jpg,0.139,0.095,0.03537735849056604,0.11343463216488642,0
36005041400.jpg,0.102,0.071,0.009433962264150943,0.1890702572589138,0
36005033800.jpg,0.258,0.133,0.009433962264150943,0.14359861591695502,0
36005031400.jpg,0.015,0.071,0.0047169811320754715,0.07394313224010832,0
36005031200.jpg,0.023,0.07200000000000001,0.0047169811320754715,0.05731909131939221,0
36005026900.jpg,0.222,0.076,0.014150943396226415,0.1420565668722732,0
36005022703.jpg,0.263,0.081,0.0047169811320754715,0.058522641793290205,0
36005037000.jpg,0.153,0.073,0.0023584905660377358,0.08661802316834662,0
36005015800.jpg,0.081,0.063,0.0,0.04535880848503084,0
36005027300.jpg,0.28600000000000003,0.1,0.018867924528301886,0.29870618324055964,0
36005037800.jpg,0.301,0.11699999999999999,0.014150943396226415,0.11463818263878442,0
36005032800.jpg,0.28300000000000003,0.11599999999999999,0.018867924528301886,0.14965397923875431,0
36005034000.jpg,0.214,0.11900000000000001,0.02358490566037736,0.173687377764405,0
36005045800.jpg,0.434,0.14,0.02830188679245283,0.23029186098992027,0
36005043600.jpg,0.11599999999999999,0.064,0.02122641509433962,0.07642545509252294,0
36005042200.jpg,0.134,0.10400000000000001,0.0,0.11606739882653828,0
36005031900.jpg,0.7140000000000001,0.16899999999999998,0.0,0.028245825184293666,0
36005037400.jpg,0.305,0.107,0.02358490566037736,0.12941928689634422,0
36005039800.jpg,0.064,0.11800000000000001,0.01650943396226415,0.11621784263577553,0
36005042100.jpg,0.345,0.14,0.0330188679245283,0.22273205957574846,0
36005006000.jpg,0.385,0.113,0.009433962264150943,0.04246276515721378,0
36005013300.jpg,0.325,0.105,0.04481132075471698,0.24010831954265083,0
36005015300.jpg,0.44,0.098,0.02358490566037736,0.15160974875883856,0
36005022800.jpg,0.177,0.09699999999999999,0.0023584905660377358,0.23386490145930494,0
36005019500.jpg,0.336,0.127,0.04009433962264151,0.29171054611102754,0
36005007800.jpg,0.307,0.08,0.02358490566037736,0.24138709192116745,0
36005006100.jpg,0.109,0.092,0.0,0.13964946592447722,0
36005021501.jpg,0.32299999999999995,0.11900000000000001,0.0,0.13186399879644953,0
36005023502.jpg,0.322,0.099,0.025943396226415096,0.1649616368286445,0
36005011502.jpg,0.42700000000000005,0.133,0.014150943396226415,0.16323153302241614,0
